location_id,location_name
1,Thành phố Hồ Chí Minh
2,Hà Nội
3,Đà Nẵng
4,Nha Trang
5,Vũng Tàu
6,Đà Lạt
7,Hội An
8,Phan Thiết
9,Đảo Phú Quốc
10,Huế
11,Sa Pa
